timestamp,green,ir,red
1631024010538,51434,313994,271061
1631024010548,51438,314034,271059
1631024010558,51442,314069,271074
1631024010568,51455,314093,271061
1631024010578,51457,314125,271079
1631024010588,51461,314129,271109
1631024010598,51484,314174,271114
1631024010608,51494,314132,271149
1631024010618,51499,314185,271148
1631024010628,51495,314205,271136
1631024010638,51506,314285,271136
1631024010648,51520,314247,271164
1631024010658,51528,314233,271159
1631024010668,51536,314352,271148
1631024010678,51545,314286,271193
1631024010688,51554,314259,271131
1631024010698,51563,314271,271137
1631024010708,51545,314237,271060
1631024010718,51533,314171,271020
1631024010728,51514,314132,270957
1631024010738,51494,314026,270914
1631024010748,51476,313943,270892
1631024010758,51471,313944,270905
1631024010768,51459,313874,270887
1631024010778,51434,313944,270901
1631024010788,51433,313843,270905
1631024010798,51431,313838,270923
1631024010808,51416,313908,270940
1631024010818,51415,313894,270969
1631024010828,51423,313905,271006
1631024010838,51434,313870,271019
1631024010848,51439,313905,271056
1631024010858,51431,313896,271022
1631024010868,51429,313926,271057
1631024010878,51437,313947,271085
1631024010888,51432,313965,271105
1631024010898,51434,313937,271092
1631024010908,51442,313962,271146
1631024010918,51447,313998,271187
1631024010928,51454,314067,271204
1631024010938,51463,314054,271196
1631024010948,51467,314077,271214
1631024010958,51481,314059,271217
1631024010968,51479,314063,271231
1631024010978,51486,314050,271239
1631024010988,51497,314038,271188
1631024010998,51499,314047,271223
1631024011008,51503,314087,271226
1631024011018,51498,314107,271176
1631024011028,51497,314031,271193
1631024011038,51493,314067,271199
1631024011048,51510,314077,271191
1631024011058,51499,314111,271206
1631024011068,51510,314114,271223
1631024011078,51505,314170,271190
1631024011088,51510,314157,271254
1631024011098,51514,314200,271222
1631024011108,51526,314177,271228
1631024011118,51527,314225,271223
1631024011128,51530,314228,271261
1631024011138,51544,314226,271263
1631024011148,51555,314274,271248
1631024011158,51550,314332,271302
1631024011168,51566,314300,271264
1631024011178,51582,314288,271298
1631024011188,51576,314321,271282
1631024011198,51584,314361,271298
1631024011208,51588,314352,271296
1631024011218,51585,314357,271248
1631024011228,51588,314373,271277
1631024011238,51594,314391,271280
1631024011248,51598,314396,271263
1631024011258,51609,314403,271244
1631024011268,51610,314456,271282
1631024011278,51606,314474,271280
1631024011288,51614,314466,271246
1631024011298,51619,314484,271220
1631024011308,51617,314488,271166
1631024011318,51614,314449,271143
1631024011328,51589,314373,271070
1631024011338,51569,314364,271023
1631024011348,51547,314237,270959
1631024011358,51529,314195,270910
1631024011368,51518,314153,270915
1631024011378,51496,314084,270862
1631024011388,51492,314054,270893
1631024011398,51474,314059,270874
1631024011408,51460,314064,270835
1631024011418,51453,314024,270866
1631024011428,51441,314067,270875
1631024011438,51443,314081,270862
1631024011448,51425,314015,270835
1631024011458,51422,314032,270868
1631024011468,51415,314018,270869
1631024011478,51410,314069,270872
1631024011488,51420,314059,270909
1631024011498,51431,314034,270892
1631024011508,51423,314087,270930
1631024011518,51429,314093,270914
1631024011528,51419,314061,270921
1631024011538,51420,314130,270944
1631024011548,51425,314136,270969
1631024011558,51427,314148,270949
1631024011568,51425,314125,270919
1631024011578,51423,314132,270930
1631024011588,51424,314037,270901
1631024011598,51423,314038,270883
1631024011608,51422,314041,270851
1631024011618,51418,314068,270838
1631024011628,51424,314051,270869
1631024011638,51418,313969,270829
1631024011648,51432,314008,270827
1631024011658,51417,314012,270827
1631024011668,51427,313987,270832
1631024011678,51431,314027,270784
1631024011688,51425,313981,270791
1631024011698,51425,313974,270782
1631024011708,51413,314008,270739
1631024011718,51419,313964,270738
1631024011728,51419,313973,270714
1631024011738,51415,313967,270724
1631024011748,51413,313933,270704
1631024011758,51422,313927,270695
1631024011768,51421,313969,270679
1631024011778,51417,313906,270665
1631024011788,51420,313930,270686
1631024011798,51426,313946,270702
1631024011808,51434,313955,270686
1631024011818,51433,313995,270706
1631024011828,51442,313974,270708
1631024011838,51443,314024,270694
1631024011848,51461,314024,270734
1631024011858,51461,314034,270736
1631024011868,51461,314031,270754
1631024011878,51471,314043,270741
1631024011888,51463,314035,270726
1631024011898,51465,314037,270670
1631024011908,51445,313942,270654
1631024011918,51435,313860,270617
1631024011928,51414,313821,270608
1631024011938,51408,313802,270569
1631024011948,51388,313703,270589
1631024011958,51388,313669,270583
1631024011968,51383,313630,270577
1631024011978,51379,313583,270564
1631024011988,51365,313576,270551
1631024011998,51350,313560,270551
1631024012008,51338,313528,270561
1631024012018,51334,313541,270568
1631024012028,51323,313503,270555
1631024012038,51309,313502,270509
1631024012048,51307,313486,270537
1631024012058,51295,313450,270549
1631024012068,51289,313517,270595
1631024012078,51291,313460,270590
1631024012088,51291,313503,270599
1631024012098,51286,313462,270627
1631024012108,51291,313463,270614
1631024012118,51287,313509,270616
1631024012128,51302,313506,270663
1631024012138,51311,313568,270660
1631024012148,51304,313530,270698
1631024012158,51316,313570,270662
1631024012168,51315,313556,270690
1631024012178,51316,313531,270700
1631024012188,51335,313558,270703
1631024012198,51328,313591,270728
1631024012208,51333,313601,270746
1631024012218,51338,313628,270750
1631024012228,51344,313645,270767
1631024012238,51350,313692,270780
1631024012248,51357,313661,270780
1631024012258,51361,313700,270821
1631024012268,51370,313685,270833
1631024012278,51365,313717,270823
1631024012288,51393,313712,270842
1631024012298,51386,313733,270824
1631024012308,51393,313753,270861
1631024012318,51407,313808,270918
1631024012328,51417,313763,270897
1631024012338,51422,313816,270906
1631024012348,51438,313840,270914
1631024012358,51443,313816,270937
1631024012368,51444,313876,270955
1631024012378,51458,313902,270962
1631024012388,51460,313874,270966
1631024012398,51468,313920,270965
1631024012408,51475,313919,270943
1631024012418,51483,313923,270963
1631024012428,51489,313940,270941
1631024012438,51494,313964,270980
1631024012448,51512,313903,270962
1631024012458,51532,313933,270989
1631024012468,51523,313887,270920
1631024012478,51507,313839,270892
1631024012488,51494,313730,270840
1631024012498,51483,313678,270806
1631024012508,51460,313624,270780
1631024012518,51436,313531,270774
1631024012528,51432,313553,270780
1631024012538,51420,313510,270781
1631024012548,51422,313528,270807
1631024012558,51419,313532,270836
1631024012568,51415,313543,270835
1631024012578,51411,313518,270866
1631024012588,51422,313526,270882
1631024012598,51414,313505,270886
1631024012608,51414,313472,270889
1631024012618,51406,313554,270924
1631024012628,51403,313554,270921
1631024012638,51397,313548,270951
1631024012648,51400,313553,270971
1631024012658,51397,313574,270998
1631024012668,51400,313599,271013
1631024012678,51395,313602,271048
1631024012688,51403,313660,271063
1631024012698,51412,313717,271102
1631024012708,51423,313723,271130
1631024012718,51428,313795,271147
1631024012728,51433,313791,271210
1631024012738,51444,313881,271225
1631024012748,51447,313841,271215
1631024012758,51442,313880,271232
1631024012768,51444,313929,271247
1631024012778,51446,313954,271226
1631024012788,51455,313957,271285
1631024012798,51450,313921,271251
1631024012808,51461,314027,271286
1631024012818,51462,314008,271253
1631024012828,51472,313999,271236
1631024012838,51472,314001,271282
1631024012848,51471,314021,271281
1631024012858,51472,314012,271255
1631024012868,51476,314037,271230
1631024012878,51481,314075,271254
1631024012888,51487,314034,271275
1631024012898,51500,313981,271266
1631024012908,51508,313999,271224
1631024012918,51508,314036,271256
1631024012928,51514,314008,271225
1631024012938,51528,313989,271251
1631024012948,51523,314000,271203
1631024012958,51538,313974,271178
1631024012968,51522,313967,271176
1631024012978,51527,313967,271144
