,timestamp,is_touching
1950,1629709065142,1
1951,1629709065236,1
1952,1629709065330,1
1953,1629709065408,1
1954,1629709065564,1
1955,1629709065689,1
1956,1629709065752,1
1957,1629709065823,1
1958,1629709065990,1
1959,1629709066052,1
1960,1629709066209,1
1961,1629709066271,1
1962,1629709066380,1
1963,1629709066505,1
1964,1629709066568,1
1965,1629709066630,1
1966,1629709066787,1
1967,1629709066883,1
1968,1629709067008,1
1969,1629709067086,1
1970,1629709067195,1
1971,1629709067258,1
1972,1629709067398,1
1973,1629709067523,1
1974,1629709067602,1
1975,1629709067664,1
1976,1629709067758,1
1977,1629709067867,1
1978,1629709067995,1
1979,1629709068088,1
1980,1629709068229,1
1981,1629709068307,1
1982,1629709068432,1
1983,1629709068463,1
1984,1629709068651,1
1985,1629709068729,1
1986,1629709068822,1
1987,1629709068869,1
1988,1629709068979,1
1989,1629709069104,1
1990,1629709069244,1
1991,1629709069369,1
1992,1629709069416,1
1993,1629709069494,1
1994,1629709069588,1
1995,1629709069697,1
1996,1629709069838,1
1997,1629709069932,1
1998,1629709070029,1
1999,1629709070107,1
2000,1629709070217,1
2001,1629709070326,1
2002,1629709070419,1
2003,1629709070544,1
2004,1629709070654,1
2005,1629709070701,1
2006,1629709070876,1
2007,1629709070938,1
2008,1629709071079,1
2009,1629709071188,1
2010,1629709071220,1
2011,1629709071344,1
2012,1629709071434,1
2013,1629709071516,1
2014,1629709071630,1
2015,1629709071724,1
2016,1629709071848,1
2017,1629709071993,1
2018,1629709072041,1
2019,1629709072171,1
2020,1629709072263,1
2021,1629709072395,1
2022,1629709072465,1
2023,1629709072550,1
2024,1629709072617,1
2025,1629709072725,1
2026,1629709072899,1
2027,1629709072993,1
2028,1629709073041,1
2029,1629709073172,1
2030,1629709073279,1
2031,1629709073335,1
2032,1629709073455,1
2033,1629709073588,1
2035,1629709073719,1
2034,1629709073766,1
2036,1629709073855,1
2037,1629709073969,1
2038,1629709074077,1
2039,1629709074171,1
2040,1629709074275,1
2041,1629709074383,1
2042,1629709074520,1
2043,1629709074561,1
2044,1629709074702,1
2045,1629709074850,1
2046,1629709074889,1
2047,1629709074980,1
2048,1629709075088,1
2049,1629709075146,1
2050,1629709075388,1
2051,1629709075429,1
2052,1629709075473,1
2053,1629709075646,1
2054,1629709075690,1
2055,1629709075795,1
2056,1629709075890,1
2057,1629709076015,1
2058,1629709076095,1
2059,1629709076212,1
2060,1629709076285,1
2061,1629709076381,1
2062,1629709076533,1
2063,1629709076597,1
2064,1629709076726,1
2065,1629709076799,1
2066,1629709076896,1
2067,1629709077005,1
2068,1629709077143,1
2069,1629709077219,1
2070,1629709077353,1
2071,1629709077399,1
2072,1629709077521,1
2073,1629709077610,1
2074,1629709077728,1
2075,1629709077828,1
2076,1629709077933,1
2077,1629709078013,1
2078,1629709078110,1
2079,1629709078201,1
2080,1629709078330,1
2081,1629709078462,1
2082,1629709078603,1
2083,1629709078616,1
2084,1629709078730,1
2085,1629709078829,1
2086,1629709078927,1
2087,1629709079073,1
2088,1629709079157,1
2089,1629709079256,1
2090,1629709079339,1
2091,1629709079433,1
2092,1629709079567,1
2093,1629709079665,1
2094,1629709079773,1
2095,1629709079857,1
2096,1629709079963,1
2097,1629709080022,1
2098,1629709080171,1
2099,1629709080308,1
2100,1629709080403,1
2101,1629709080477,1
2102,1629709080584,1
2103,1629709080687,1
2104,1629709080817,1
2105,1629709080877,1
2106,1629709080982,1
2107,1629709081100,1
2108,1629709081163,1
2109,1629709081251,1
2110,1629709081397,1
2111,1629709081505,1
2112,1629709081583,1
2113,1629709081685,1
2114,1629709081805,1
2115,1629709081911,1
2116,1629709082018,1
2117,1629709082104,1
2118,1629709082212,1
2119,1629709082281,1
2120,1629709082371,1
2121,1629709082511,1
2122,1629709082630,1
2123,1629709082704,1
2124,1629709082811,1
2125,1629709082911,1
2126,1629709083009,1
2127,1629709083085,1
2128,1629709083193,1
2129,1629709083350,1
2130,1629709083416,1
2131,1629709083500,1
2132,1629709083613,1
2133,1629709083749,1
2134,1629709083844,1
2135,1629709083912,1
2136,1629709084060,1
2137,1629709084176,1
2138,1629709084226,1
2139,1629709084322,1
2140,1629709084437,1
2141,1629709084545,1
2142,1629709084620,1
2143,1629709084715,1
2144,1629709084816,1
2145,1629709084916,1
2146,1629709085035,1
2147,1629709085169,1
2148,1629709085258,1
2149,1629709085352,1
2150,1629709085459,1
2151,1629709085526,1
2152,1629709085705,1
2153,1629709085783,1
2154,1629709085886,1
2155,1629709085918,1
2156,1629709086033,1
2157,1629709086134,1
2158,1629709086267,1
2159,1629709086366,1
2160,1629709086471,1
2161,1629709086612,1
2162,1629709086667,1
2163,1629709086749,1
2164,1629709086936,1
2165,1629709086979,1
2166,1629709087097,1
2167,1629709087168,1
2168,1629709087250,1
2169,1629709087368,1
2170,1629709087508,1
2171,1629709087590,1
2172,1629709087693,1
2173,1629709087818,1
2174,1629709087855,1
2175,1629709087984,1
2176,1629709088172,1
2177,1629709088218,1
2178,1629709088312,1
2179,1629709088390,1
2180,1629709088453,1
2181,1629709088593,1
2182,1629709088703,1
2183,1629709088781,1
2184,1629709088940,1
2185,1629709089017,1
2186,1629709089064,1
2187,1629709089174,1
2188,1629709089346,1
2189,1629709089439,1
2190,1629709089486,1
2191,1629709089627,1
2192,1629709089721,1
2193,1629709089845,1
2194,1629709089942,1
2195,1629709090067,1
2196,1629709090145,1
2197,1629709090223,1
2198,1629709090348,1
2199,1629709090410,1
2200,1629709090520,1
2201,1629709090645,1
2202,1629709090738,1
