timestamp,bvp
1629377354890,3.11
1629377354906,1.94
1629377354921,0.92
1629377354937,0.09
1629377354953,-0.58
1629377354968,-1.15
1629377354984,-1.75
1629377355000,-2.48
1629377355015,-3.44
1629377355031,-4.67
1629377355046,-6.12
1629377355062,-7.7
1629377355078,-9.28
1629377355093,-10.77
1629377355109,-12.14
1629377355125,-13.45
1629377355140,-14.77
1629377355156,-16.2
1629377355171,-17.71
1629377355187,-19.17
1629377355203,-20.3
1629377355218,-20.83
1629377355234,-20.59
1629377355250,-19.63
1629377355265,-18.22
1629377355281,-16.75
1629377355296,-15.57
1629377355312,-14.83
1629377355328,-14.39
1629377355343,-13.92
1629377355359,-12.99
1629377355375,-11.31
1629377355390,-8.83
1629377355406,-5.75
1629377355421,-2.37
1629377355437,0.97
1629377355453,4.05
1629377355468,6.77
1629377355484,9.12
1629377355500,11.13
1629377355515,12.83
1629377355531,14.23
1629377355546,15.37
1629377355562,16.33
1629377355578,17.2
1629377355593,18.1
1629377355609,19.05
1629377355625,20.02
1629377355640,20.84
1629377355656,21.35
1629377355671,21.41
1629377355687,21.01
1629377355703,20.22
1629377355718,19.23
1629377355734,18.22
1629377355750,17.33
1629377355765,16.58
1629377355781,15.92
1629377355796,15.26
1629377355812,14.55
1629377355828,13.74
1629377355843,12.83
1629377355859,11.8
1629377355875,10.63
1629377355890,9.32
1629377355906,7.85
1629377355921,6.3
1629377355937,4.73
1629377355953,3.27
1629377355968,1.98
1629377355984,0.85
1629377356000,-0.15
1629377356015,-1.11
1629377356031,-2.11
1629377356046,-3.2
1629377356062,-4.41
1629377356078,-5.76
1629377356093,-7.31
1629377356109,-9.06
1629377356125,-10.93
1629377356140,-12.72
1629377356156,-14.18
1629377356171,-15.01
1629377356187,-15.08
1629377356203,-14.36
1629377356218,-13.02
1629377356234,-11.25
1629377356250,-9.23
1629377356265,-7.06
1629377356281,-4.77
1629377356296,-2.41
1629377356312,-0.04
1629377356328,2.23
1629377356343,4.29
1629377356359,6.01
1629377356375,7.37
1629377356390,8.35
1629377356406,8.98
1629377356421,9.33
1629377356437,9.47
1629377356453,9.49
1629377356468,9.49
1629377356484,9.6
1629377356500,9.91
1629377356515,10.44
1629377356531,11.12
1629377356546,11.79
1629377356562,12.3
1629377356578,12.57
1629377356593,12.66
1629377356609,12.75
1629377356625,13.07
1629377356640,13.78
1629377356656,14.81
1629377356671,15.85
1629377356687,16.41
1629377356703,15.88
1629377356718,13.79
1629377356734,9.9
1629377356750,4.35
1629377356765,-2.35
1629377356781,-9.41
1629377356796,-15.93
1629377356812,-21.14
1629377356828,-24.55
1629377356843,-26.06
1629377356859,-25.88
1629377356875,-24.41
1629377356890,-22.01
1629377356906,-18.96
1629377356921,-15.48
1629377356937,-11.74
1629377356953,-8.0
1629377356968,-4.53
1629377356984,-1.62
1629377357000,0.56
1629377357015,1.95
1629377357031,2.58
1629377357046,2.5
1629377357062,1.76
1629377357078,0.44
1629377357093,-1.3
1629377357109,-3.19
1629377357125,-4.81
1629377357140,-5.79
1629377357156,-5.88
1629377357171,-5.08
1629377357187,-3.6
1629377357203,-1.77
1629377357218,0.08
1629377357234,1.75
1629377357250,3.13
1629377357265,4.24
1629377357281,5.18
1629377357296,6.04
1629377357312,6.9
1629377357328,7.79
1629377357343,8.68
1629377357359,9.45
1629377357375,10.02
1629377357390,10.31
1629377357406,10.36
1629377357421,10.28
1629377357437,10.21
1629377357453,10.21
1629377357468,10.29
1629377357484,10.4
1629377357500,10.5
1629377357515,10.55
1629377357531,10.58
1629377357546,10.55
1629377357562,10.43
1629377357578,10.12
1629377357593,9.6
1629377357609,8.9
1629377357625,8.14
1629377357640,7.47
1629377357656,6.99
1629377357671,6.68
1629377357687,6.44
1629377357703,6.13
1629377357718,5.64
1629377357734,4.94
1629377357750,4.11
1629377357765,3.24
1629377357781,2.38
1629377357796,1.54
1629377357812,0.72
1629377357828,-0.12
1629377357843,-0.93
1629377357859,-1.68
1629377357875,-2.33
1629377357890,-2.91
1629377357906,-3.51
1629377357921,-4.23
1629377357937,-5.12
1629377357953,-6.14
1629377357968,-7.16
1629377357984,-8.1
1629377358000,-8.97
1629377358015,-9.85
1629377358031,-10.88
1629377358046,-12.13
1629377358062,-13.54
1629377358078,-14.98
1629377358093,-16.29
1629377358109,-17.32
1629377358125,-17.96
1629377358140,-18.12
1629377358156,-17.69
1629377358171,-16.6
1629377358187,-14.8
1629377358203,-12.39
1629377358218,-9.57
1629377358234,-6.68
1629377358250,-4.04
1629377358265,-1.88
1629377358281,-0.26
1629377358296,0.93
1629377358312,1.85
1629377358328,2.68
1629377358343,3.5
1629377358359,4.32
1629377358375,5.09
1629377358390,5.75
1629377358406,6.32
1629377358421,6.8
1629377358437,7.24
1629377358453,7.63
1629377358468,7.98
1629377358484,8.25
1629377358500,8.46
1629377358515,8.59
1629377358531,8.67
1629377358546,8.7
1629377358562,8.67
1629377358578,8.59
1629377358593,8.44
1629377358609,8.2
1629377358625,7.88
1629377358640,7.44
1629377358656,6.91
1629377358671,6.3
1629377358687,5.66
1629377358703,4.99
1629377358718,4.33
1629377358734,3.68
1629377358750,3.07
1629377358765,2.53
1629377358781,2.12
1629377358796,1.81
1629377358812,1.57
1629377358828,1.34
1629377358843,1.03
1629377358859,0.59
1629377358875,-0.01
1629377358890,-0.79
1629377358906,-1.7
1629377358921,-2.65
1629377358937,-3.52
1629377358953,-4.22
1629377358968,-4.72
1629377358984,-5.12
1629377359000,-5.58
1629377359015,-6.27
1629377359031,-7.28
1629377359046,-8.58
1629377359062,-10.07
1629377359078,-11.59
1629377359093,-12.94
1629377359109,-13.94
1629377359125,-14.41
1629377359140,-14.2
1629377359156,-13.25
1629377359171,-11.6
1629377359187,-9.45
1629377359203,-7.04
1629377359218,-4.65
1629377359234,-2.49
1629377359250,-0.67
1629377359265,0.75
1629377359281,1.79
1629377359296,2.53
1629377359312,3.08
1629377359328,3.55
1629377359343,4.03
1629377359359,4.54
1629377359375,5.0
1629377359390,5.32
1629377359406,5.44
1629377359421,5.36
1629377359437,5.16
1629377359453,4.91
1629377359468,4.67
1629377359484,4.44
1629377359500,4.18
1629377359515,3.88
1629377359531,3.57
1629377359546,3.3
1629377359562,3.11
1629377359578,2.98
1629377359593,2.85
1629377359609,2.64
1629377359625,2.34
1629377359640,1.98
1629377359656,1.59
1629377359671,1.2
1629377359687,0.78
1629377359703,0.3
1629377359718,-0.23
1629377359734,-0.77
1629377359750,-1.23
1629377359765,-1.58
1629377359781,-1.87
1629377359796,-2.22
1629377359812,-2.72
1629377359828,-3.43
1629377359843,-4.31
1629377359859,-5.24
1629377359875,-6.13
1629377359890,-6.91
1629377359906,-7.59
1629377359921,-8.21
1629377359937,-8.84
1629377359953,-9.57
1629377359968,-10.45
1629377359984,-11.46
1629377360000,-12.51
1629377360015,-13.43
1629377360031,-13.97
1629377360046,-13.94
1629377360062,-13.2
1629377360078,-11.77
1629377360093,-9.78
1629377360109,-7.43
1629377360125,-4.95
1629377360140,-2.54
1629377360156,-0.37
1629377360171,1.43
1629377360187,2.8
1629377360203,3.7
1629377360218,4.17
1629377360234,4.33
1629377360250,4.31
1629377360265,4.25
1629377360281,4.25
1629377360296,4.37
1629377360312,4.62
1629377360328,4.97
1629377360343,5.35
1629377360359,5.71
1629377360375,5.94
1629377360390,5.97
1629377360406,5.77
1629377360421,5.39
1629377360437,4.95
1629377360453,4.62
1629377360468,4.53
1629377360484,4.7
1629377360500,4.99
1629377360515,5.21
1629377360531,5.14
1629377360546,4.66
1629377360562,3.81
1629377360578,2.75
1629377360593,1.68
1629377360609,0.72
1629377360625,-0.13
1629377360640,-0.95
1629377360656,-1.86
1629377360671,-2.87
1629377360687,-3.89
1629377360703,-4.79
1629377360718,-5.47
1629377360734,-5.95
1629377360750,-6.36
1629377360765,-6.85
1629377360781,-7.52
1629377360796,-8.31
1629377360812,-9.1
1629377360828,-9.78
1629377360843,-10.32
1629377360859,-10.86
1629377360875,-11.55
1629377360890,-12.46
1629377360906,-13.48
1629377360921,-14.31
1629377360937,-14.6
1629377360953,-14.09
1629377360968,-12.76
1629377360984,-10.81
1629377361000,-8.6
1629377361015,-6.47
1629377361031,-4.62
1629377361046,-3.03
1629377361062,-1.57
1629377361078,-0.08
1629377361093,1.49
1629377361109,3.03
1629377361125,4.37
1629377361140,5.3
1629377361156,5.8
1629377361171,5.94
1629377361187,5.9
1629377361203,5.87
1629377361218,5.92
1629377361234,6.05
1629377361250,6.18
1629377361265,6.26
1629377361281,6.29
1629377361296,6.33
1629377361312,6.43
1629377361328,6.63
1629377361343,6.9
1629377361359,7.17
1629377361375,7.35
1629377361390,7.4
1629377361406,7.33
1629377361421,7.15
1629377361437,6.9
1629377361453,6.62
1629377361468,6.29
1629377361484,5.9
1629377361500,5.42
1629377361515,4.8
1629377361531,4.03
1629377361546,3.11
1629377361562,2.07
1629377361578,0.91
1629377361593,-0.33
1629377361609,-1.59
1629377361625,-2.8
1629377361640,-3.85
1629377361656,-4.69
1629377361671,-5.31
1629377361687,-5.78
1629377361703,-6.27
1629377361718,-6.95
1629377361734,-7.93
1629377361750,-9.24
1629377361765,-10.8
1629377361781,-12.49
1629377361796,-14.17
1629377361812,-15.7
1629377361828,-16.97
1629377361843,-17.88
1629377361859,-18.34
1629377361875,-18.31
1629377361890,-17.78
1629377361906,-16.76
1629377361921,-15.28
1629377361937,-13.38
1629377361953,-11.13
1629377361968,-8.67
1629377361984,-6.22
1629377362000,-4.01
1629377362015,-2.23
1629377362031,-0.93
1629377362046,0.01
1629377362062,0.75
1629377362078,1.48
1629377362093,2.24
1629377362109,3.02
1629377362125,3.75
1629377362140,4.42
1629377362156,5.02
1629377362171,5.58
1629377362187,6.11
1629377362203,6.6
1629377362218,7.0
1629377362234,7.26
1629377362250,7.37
1629377362265,7.32
1629377362281,7.1
1629377362296,6.75
1629377362312,6.29
1629377362328,5.8
1629377362343,5.33
1629377362359,4.93
1629377362375,4.56
1629377362390,4.16
1629377362406,3.66
1629377362421,3.0
1629377362437,2.17
1629377362453,1.21
1629377362468,0.17
1629377362484,-0.86
1629377362500,-1.78
1629377362515,-2.49
1629377362531,-3.0
1629377362546,-3.36
1629377362562,-3.75
1629377362578,-4.34
1629377362593,-5.22
1629377362609,-6.38
1629377362625,-7.72
1629377362640,-9.04
1629377362656,-10.2
1629377362671,-11.15
1629377362687,-11.94
1629377362703,-12.69
1629377362718,-13.48
1629377362734,-14.28
1629377362750,-14.95
1629377362765,-15.26
1629377362781,-15.0
1629377362796,-14.06
1629377362812,-12.52
1629377362828,-10.56
1629377362843,-8.42
1629377362859,-6.26
1629377362875,-4.14
1629377362890,-2.05
1629377362906,0.0
1629377362921,2.0
1629377362937,3.83
1629377362953,5.39
1629377362968,6.61
1629377362984,7.5
1629377363000,8.1
1629377363015,8.52
1629377363031,8.85
1629377363046,9.19
1629377363062,9.61
1629377363078,10.13
1629377363093,10.69
1629377363109,11.15
1629377363125,11.4
1629377363140,11.45
1629377363156,11.41
1629377363171,11.49
1629377363187,11.83
1629377363203,12.41
1629377363218,13.0
1629377363234,13.28
1629377363250,13.03
1629377363265,12.21
1629377363281,11.04
1629377363296,9.86
1629377363312,8.98
1629377363328,8.5
1629377363343,8.33
1629377363359,8.18
1629377363375,7.77
1629377363390,6.97
1629377363406,5.8
1629377363421,4.5
1629377363437,3.35
1629377363453,2.62
1629377363468,2.41
1629377363484,2.63
1629377363500,2.99
1629377363515,3.12
1629377363531,2.71
1629377363546,1.61
1629377363562,-0.09
1629377363578,-2.09
1629377363593,-3.93
1629377363609,-5.02
1629377363625,-4.85
1629377363640,-3.11
1629377363656,0.07
1629377363671,3.95
1629377363687,7.22
1629377363703,8.33
1629377363718,5.98
1629377363734,-0.32
1629377363750,-9.89
1629377363765,-21.09
1629377363781,-31.78
1629377363796,-40.07
1629377363812,-44.9
1629377363828,-46.18
1629377363843,-44.62
1629377363859,-41.26
1629377363875,-37.01
1629377363890,-32.43
1629377363906,-27.68
1629377363921,-22.71
1629377363937,-17.44
1629377363953,-11.92
1629377363968,-6.3
1629377363984,-0.85
1629377364000,4.16
1629377364015,8.56
1629377364031,12.24
1629377364046,15.18
1629377364062,17.32
1629377364078,18.61
1629377364093,18.97
1629377364109,18.46
1629377364125,17.29
1629377364140,15.82
1629377364156,14.45
1629377364171,13.48
1629377364187,13.0
1629377364203,12.89
1629377364218,12.88
1629377364234,12.7
1629377364250,12.22
1629377364265,11.43
1629377364281,10.46
1629377364296,9.44
1629377364312,8.48
1629377364328,7.61
1629377364343,6.8
1629377364359,5.98
1629377364375,5.05
1629377364390,3.93
1629377364406,2.59
1629377364421,1.1
1629377364437,-0.41
1629377364453,-1.8
1629377364468,-3.06
1629377364484,-4.27
1629377364500,-5.59
1629377364515,-7.16
1629377364531,-8.99
1629377364546,-10.88
1629377364562,-12.48
1629377364578,-13.41
1629377364593,-13.46
1629377364609,-12.62
1629377364625,-11.13
1629377364640,-9.33
1629377364656,-7.51
1629377364671,-5.75
1629377364687,-4.01
1629377364703,-2.11
1629377364718,0.09
1629377364734,2.56
1629377364750,5.13
1629377364765,7.53
1629377364781,9.49
1629377364796,10.88
1629377364812,11.67
1629377364828,11.95
1629377364843,11.86
1629377364859,11.56
1629377364875,11.2
1629377364890,10.97
1629377364906,11.02
1629377364921,11.47
1629377364937,12.26
1629377364953,13.24
1629377364968,14.14
1629377364984,14.72
1629377365000,14.88
1629377365015,14.61
1629377365031,14.07
1629377365046,13.43
1629377365062,12.82
1629377365078,12.3
1629377365093,11.87
