timestamp,hr
1629377153000,66.0
1629377154000,66.02
1629377155000,66.05
1629377156000,66.05
1629377157000,66.08
1629377158000,66.15
1629377159000,66.25
1629377160000,66.33
1629377161000,66.4
1629377162000,66.5
1629377163000,66.58
1629377164000,66.5
1629377165000,66.55
1629377166000,66.62
1629377167000,66.68
1629377168000,66.73
1629377169000,66.8
1629377170000,66.9
1629377171000,66.93
1629377172000,66.77
1629377173000,66.65
1629377174000,66.57
1629377175000,66.53
1629377176000,66.52
1629377177000,66.53
1629377178000,66.55
1629377179000,66.58
1629377180000,66.6
1629377181000,66.63
1629377182000,66.73
1629377183000,66.83
1629377184000,66.97
1629377185000,67.08
1629377186000,67.2
1629377187000,67.35
1629377188000,67.5
1629377189000,67.68
1629377190000,67.85
1629377191000,67.98
1629377192000,68.07
1629377193000,68.12
1629377194000,68.15
1629377195000,68.18
1629377196000,68.23
1629377197000,68.3
1629377198000,68.4
1629377199000,68.52
1629377200000,68.68
1629377201000,68.88
1629377202000,69.05
1629377203000,69.22
1629377204000,69.38
1629377205000,69.57
1629377206000,69.58
1629377207000,69.52
1629377208000,69.38
1629377209000,69.25
1629377210000,69.17
1629377211000,69.08
1629377212000,69.0
1629377213000,68.87
1629377214000,68.75
1629377215000,68.63
1629377216000,68.55
1629377217000,68.45
1629377218000,68.28
1629377219000,68.1
1629377220000,68.12
1629377221000,68.18
1629377222000,68.23
1629377223000,68.23
1629377224000,68.4
1629377225000,68.42
1629377226000,68.52
1629377227000,68.62
1629377228000,68.72
1629377229000,68.78
1629377230000,68.82
1629377231000,69.0
1629377232000,69.38
1629377233000,69.57
1629377234000,69.72
1629377235000,69.77
1629377236000,69.8
1629377237000,69.83
1629377238000,69.83
1629377239000,69.83
1629377240000,69.83
1629377241000,69.83
1629377242000,69.77
1629377243000,69.68
1629377244000,69.53
1629377245000,69.38
1629377246000,69.23
1629377247000,69.05
1629377248000,68.87
1629377249000,68.63
1629377250000,68.38
1629377251000,68.18
1629377252000,68.0
1629377253000,67.85
1629377254000,67.7
1629377255000,67.55
1629377256000,67.38
1629377257000,67.23
1629377258000,67.05
1629377259000,66.85
1629377260000,66.57
1629377261000,66.32
1629377262000,66.13
1629377263000,65.93
1629377264000,65.75
1629377265000,65.52
1629377266000,65.3
1629377267000,65.15
1629377268000,65.03
1629377269000,64.92
1629377270000,64.75
1629377271000,64.53
1629377272000,64.52
1629377273000,64.5
1629377274000,64.47
1629377275000,64.43
1629377276000,64.38
1629377277000,64.35
1629377278000,64.28
1629377279000,64.22
1629377280000,63.97
1629377281000,63.68
1629377282000,63.4
1629377283000,63.18
1629377284000,62.97
1629377285000,62.77
1629377286000,62.57
1629377287000,62.35
1629377288000,62.3
1629377289000,62.23
1629377290000,62.15
