trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
1457.7340362449177,1458.884818309918,-0.3,z,z,1,1.752563328947872,9,2
1459.5356219408568,1460.6180460068863,-0.1,x,x,1,1.6608815100044012,10,2
1461.2383812859189,1462.4844734389335,-0.1,x,x,1,1.7761613950133324,11,2
1463.046844722936,1464.1048759049736,-0.1,x,x,1,1.5195488368626684,12,2
1464.6047498020343,1465.73825166584,-0.3,z,z,1,1.7396377259865403,13,2
1466.3819783439394,1467.504980172962,0.3,period,period,1,1.869191972073168,14,2
1468.3048683248926,1469.438244023826,-0.3,z,z,1,1.6314002110157162,15,2
1469.9664206160232,1471.117429054808,-0.1,x,x,1,1.6557696510571986,16,2
1471.671363716945,1472.9045744638424,0.1,comma,comma,1,1.987816188950092,17,2
1473.7003876050003,1474.9707345960196,-0.3,z,z,1,1.7735484349541366,18,2
1475.516450030962,1476.6047424369026,0.3,period,period,1,1.903404050972313,19,2
1477.4688741858115,1478.8378788200207,0.1,comma,comma,1,1.9608472511172292,20,2
1479.467038617935,1480.6847646459937,-0.3,z,z,1,1.655711789848283,21,2
1481.1687174569815,1482.571340953,0.1,comma,comma,1,1.8999328729696567,22,2
1483.100606417982,1484.5048217119183,0.1,comma,comma,1,1.9788946309126916,23,2
1485.114400536986,1486.317312058993,0.3,period,period,1,1.7880512080155313,24,2
1486.9365612959955,1488.0711836130358,0.1,comma,comma,1,1.69773984211497,25,2
1488.666507088812,1489.8507897658274,-0.3,z,z,1,1.6268017950933429,26,2
1490.3355529208202,1491.47140800301,0.3,period,period,1,1.7356496709398923,27,2
1492.101504722843,1493.1378260168713,-0.1,x,x,1,1.7796457880176604,28,2
1493.914397093933,1495.1713183838874,0.1,comma,comma,1,1.7388011149596423,29,2
1495.7002303868069,1496.9379540118389,-0.3,z,z,1,1.7127492330037055,30,2
1497.4483222828712,1498.7509229369462,0.3,period,period,1,1.744592459173873,31,2
1499.23479226185,1500.57127888198,0.3,period,period,1,1.747027702163905,32,2
1501.014700089814,1502.404282260919,-0.3,z,z,1,1.7630676310509443,33,2
1502.8134387929458,1504.017626935849,-0.1,x,x,1,1.6982808399479836,34,2
1504.5432027119678,1505.6500361519866,-0.1,x,x,1,1.7043563609477133,35,2
