timestamp,cumulative_impulse_load,walking_step_count,running_step_count,bound_count,jump_count,minor_impact_count,major_impact_count,avg_force_dev_rate,avg_step_impulse,avg_step_period,last_jump_flight_time
1631106988449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106989449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106990449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106991449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106992449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106993449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106994449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106995449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106996449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106997449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106998449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106999449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107000449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107001449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107002449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107003449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107004449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107005449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107006449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107007449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107008449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107009449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107010449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107011449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107012449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107013449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107014449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107015449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107016449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107017449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107018449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107019449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107020449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107021449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107022449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107023449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107024449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107025449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107026449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107027449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107028449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107029449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107030449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107031449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107032449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107033449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107034449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107035449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107036449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107037449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107038449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107039449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107040449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107041449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107042449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107043449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107044449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107045449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107046449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107047449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107048449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107049449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107050449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107051449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107052449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107053449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107054449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107055449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107056449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107057449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107058449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107059449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107060449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107061449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107062449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107063449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107064449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107065449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107066449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107067449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107068449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107069449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107070449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107071449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107072449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107073449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107074449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107075449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107076449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107077449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107078449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107079449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107080449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107081449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107082449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107083449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107084449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107085449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107086449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107087449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107088449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107089449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107090449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107091449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107092449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107093449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631107094449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
