timestamp,green,ir,red
1630937427215,66142,372252,361238
1630937427225,66148,372321,361262
1630937427235,66153,372306,361297
1630937427245,66160,372378,361309
1630937427255,66169,372328,361347
1630937427265,66189,372399,361406
1630937427275,66211,372357,361483
1630937427285,66228,372427,361512
1630937427295,66241,372431,361559
1630937427305,66245,372416,361625
1630937427315,66260,372415,361629
1630937427325,66269,372469,361660
1630937427335,66265,372387,361639
1630937427345,66260,372419,361678
1630937427355,66259,372443,361742
1630937427365,66267,372474,361757
1630937427375,66279,372492,361794
1630937427385,66295,372581,361835
1630937427395,66320,372594,361883
1630937427405,66350,372727,361941
1630937427415,66391,372768,362016
1630937427425,66421,372888,362095
1630937427435,66474,372950,362144
1630937427445,66492,372971,362274
1630937427455,66536,373091,362343
1630937427465,66580,373099,362415
1630937427475,66624,373193,362504
1630937427485,66655,373258,362600
1630937427495,66679,373304,362581
1630937427505,66698,373282,362650
1630937427515,66714,373364,362695
1630937427525,66742,373341,362778
1630937427535,66754,373315,362818
1630937427545,66751,373341,362857
1630937427555,66742,373398,362840
1630937427565,66722,373307,362840
1630937427575,66694,373314,362775
1630937427585,66658,373262,362772
1630937427595,66624,373186,362772
1630937427605,66577,373125,362746
1630937427615,66541,373020,362753
1630937427625,66471,372941,362746
1630937427635,66440,372884,362648
1630937427645,66395,372794,362610
1630937427655,66355,372735,362607
1630937427665,66327,372691,362564
1630937427675,66262,372588,362513
1630937427685,66220,372500,362494
1630937427695,66199,372465,362482
1630937427705,66177,372373,362516
1630937427715,66141,372335,362479
1630937427725,66115,372273,362475
1630937427735,66067,372161,362455
1630937427745,66027,372139,362384
1630937427755,65982,372040,362415
1630937427765,65952,371976,362353
1630937427775,65904,372016,362324
1630937427785,65846,371953,362230
1630937427795,65798,371897,362203
1630937427805,65748,371857,362123
1630937427815,65667,371741,362044
1630937427825,65590,371562,361914
1630937427835,65502,371546,361822
1630937427845,65425,371349,361727
1630937427855,65351,371261,361586
1630937427865,65266,371117,361483
1630937427875,65191,370989,361361
1630937427885,65084,370955,361241
1630937427895,64985,370776,361112
1630937427905,64900,370664,360950
1630937427915,64812,370534,360895
1630937427925,64734,370460,360742
1630937427935,64651,370362,360660
1630937427945,64551,370228,360506
1630937427955,64475,370139,360446
1630937427965,64394,370071,360282
1630937427975,64327,370010,360183
1630937427985,64263,369989,360061
1630937427995,64225,369937,360042
1630937428005,64205,369895,359928
1630937428015,64157,369898,359933
1630937428025,64146,369957,359909
1630937428035,64139,369856,359881
1630937428045,64127,369917,359833
1630937428055,64100,369892,359757
1630937428065,64104,369875,359774
1630937428075,64091,369874,359744
1630937428085,64056,369897,359695
1630937428095,64007,369816,359595
